,City,Contact,Country,County,District,Formatted,Group,ID,Last Remodel,Latitude,Longitude,Opened,Region,State,Store Features,Store_Name,Stores_Open,Street,SubType,Timings,Type,Zipcode
23,Tempe,(480) 831-9162,United States,Maricopa,379,"1818 E Baseline Rd, Tempe, AZ 85283-1502",390,319,2011-07-21T12:00:00,33.379204,-111.907465,1987-09-09T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']",Tempe,"['Monday-Friday', 'Saturday', 'Sunday']",1818 E Baseline Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85283-1502
24,Phoenix,(623) 245-1800,United States,Maricopa,375,"7409 W Virginia Ave, Phoenix, AZ 85035-1336",390,851,2005-07-14T12:00:00,33.475425,-112.218617,1993-07-21T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Westridge,"['Monday-Friday', 'Saturday', 'Sunday']",7409 W Virginia Ave,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85035-1336
25,Gilbert,(480) 892-2282,United States,Maricopa,379,"1515 E Warner Rd, Gilbert, AZ 85296-3138",390,1209,2018-10-26T12:00:00,33.334243,-111.757366,1999-10-06T12:00:00,300,AZ,"['CVS pharmacy', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Gilbert,"['Monday-Friday', 'Saturday', 'Sunday']",1515 E Warner Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85296-3138
26,Phoenix,(602) 281-1119,United States,Maricopa,379,"2140 E Baseline Rd, Phoenix, AZ 85042-6910",390,1905,2011-10-06T12:00:00,33.379333,-112.03501,2004-10-06T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",South Mountain,"['Monday-Friday', 'Saturday', 'Sunday']",2140 E Baseline Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85042-6910
27,Mesa,(480) 281-0268,United States,Maricopa,374,"5110 S Power Rd, Mesa, AZ 85212-4201",390,1959,null,33.322949,-111.689675,2005-03-02T12:00:00,300,AZ,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Gilbert SE,"['Monday-Friday', 'Saturday', 'Sunday']",5110 S Power Rd,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85212-4201
28,Tolleson,(623) 687-2136,United States,Maricopa,375,"9830 W Lower Buckeye Rd, Tolleson, AZ 85353-9424",390,2149,2011-10-06T12:00:00,33.423059,-112.269381,2006-07-19T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Starbucks', 'Wine & Beer Available']",Phoenix SW,"['Monday-Friday', 'Saturday', 'Sunday']",9830 W Lower Buckeye Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85353-9424
29,Phoenix,(480) 893-9333,United States,Maricopa,379,"4734 E Ray Rd, Phoenix, AZ 85044-6225",390,909,2011-07-21T12:00:00,33.321379,-111.981542,1994-07-20T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Ahwatukee,"['Monday-Friday', 'Saturday', 'Sunday']",4734 E Ray Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,85044-6225
30,Goodyear,(623) 935-3510,United States,Maricopa,375,"1515 N Litchfield Rd, Goodyear, AZ 85395-1237",390,1242,2018-10-26T12:00:00,33.462942,-112.355692,1999-10-06T12:00:00,300,AZ,"['CVS pharmacy', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Goodyear,"['Monday-Friday', 'Saturday', 'Sunday']",1515 N Litchfield Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85395-1237
31,Chandler,(480) 281-0007,United States,Maricopa,379,"3425 W Frye Rd, Chandler, AZ 85226-5008",390,1838,2011-10-06T12:00:00,33.296076,-111.899963,2003-10-08T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Chandler West Santan,"['Monday-Friday', 'Saturday', 'Sunday']",3425 W Frye Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85226-5008
32,Gilbert,(480) 281-0201,United States,Maricopa,379,"3931 S Gilbert Rd, Gilbert, AZ 85297-7004",390,1960,null,33.27841,-111.786353,2005-03-02T12:00:00,300,AZ,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Gilbert SW,"['Monday-Friday', 'Saturday', 'Sunday']",3931 S Gilbert Rd,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85297-7004
33,Queen Creek,(480) 214-4810,United States,Maricopa,374,"21398 S Ellsworth Loop Rd, Queen Creek, AZ 85142-5379",390,2365,2019-06-07T12:00:00,33.254419,-111.641632,2008-03-05T12:00:00,300,AZ,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Queen Creek,"['Monday-Friday', 'Saturday', 'Sunday']",21398 S Ellsworth Loop Rd,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85142-5379
34,Chandler,(480) 612-6101,United States,Maricopa,379,"3777 S ARIZONA AVE, Chandler, AZ 85248",390,2747,2011-06-16T12:00:00,33.25002,-111.838331,2011-07-20T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",Chandler South,"['Monday-Friday', 'Saturday', 'Sunday']",3777 S ARIZONA AVE,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85248
35,Goodyear,(480) 627-3275,United States,Maricopa,375,"995 S Cotton Ln, Goodyear, AZ 85338-4604",390,2400,null,33.437407,-112.421869,2008-10-08T12:00:00,300,AZ,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Drive Up', 'Expanded Grocery', 'Optical', 'Starbucks', 'Wine & Beer Available']",Goodyear West,"['Monday-Friday', 'Saturday', 'Sunday']",995 S Cotton Ln,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85338-4604
36,Oro Valley,(520) 219-9862,United States,Pima,376,"10555 N Oracle Rd, Oro Valley, AZ 85737-9353",390,700,2011-10-06T12:00:00,32.399158,-110.959446,1999-03-03T12:00:00,300,AZ,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']",Oro Valley,"['Monday-Friday', 'Saturday', 'Sunday']",10555 N Oracle Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,85737-9353
37,Tucson,(520) 744-3553,United States,Pima,376,"3901 W Ina Rd, Tucson, AZ 85741-2206",390,854,2011-07-21T12:00:00,32.336156,-111.048391,1993-10-06T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Tucson NW,"['Monday-Friday', 'Saturday', 'Sunday']",3901 W Ina Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85741-2206
38,Tucson,(520) 202-1501,United States,Pima,376,"4040 N Oracle Rd, Tucson, AZ 85705-2720",390,2140,2009-09-03T12:00:00,32.279864,-110.976713,2009-10-07T12:00:00,300,AZ,"['Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Drive Up', 'Expanded Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",Tucson North,"['Monday-Friday', 'Saturday', 'Sunday']",4040 N Oracle Rd,SuperTarget,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,85705-2720
39,Tucson,(520) 290-1711,United States,Pima,376,"6500 E Grant Rd, Tucson, AZ 85715-3801",390,855,2018-07-20T12:00:00,32.249311,-110.853411,1993-10-06T12:00:00,300,AZ,"['CVS pharmacy', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Tucson NE,"['Monday-Friday', 'Saturday', 'Sunday']",6500 E Grant Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85715-3801
40,Tucson,(520) 917-0116,United States,Pima,376,"3699 E Broadway Blvd, Tucson, AZ 85716-5400",390,1439,2018-09-07T12:00:00,32.22347,-110.914589,2004-07-21T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Tucson El Con Mall,"['Monday-Friday', 'Saturday', 'Sunday']",3699 E Broadway Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,85716-5400
41,Tucson,(520) 295-1277,United States,Pima,376,"1225 W Irvington Rd, Tucson, AZ 85714-1167",390,1316,2018-11-09T12:00:00,32.160961,-110.989723,2001-07-25T12:00:00,300,AZ,"['CVS pharmacy', 'Café', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Tucson SW,"['Monday-Friday', 'Saturday', 'Sunday']",1225 W Irvington Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,85714-1167
42,Tucson,(520) 296-4290,United States,Pima,376,"9615 E Old Spanish Trl, Tucson, AZ 85748-7540",390,1863,2018-10-26T12:00:00,32.207417,-110.786774,2004-03-03T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",Tucson SE,"['Monday-Friday', 'Saturday', 'Sunday']",9615 E Old Spanish Trl,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85748-7540
43,Bullhead City,(928) 704-5064,United States,Mohave,380,"3699 Hwy 95, Bullhead City, AZ 86442-9119",390,2368,null,35.051939,-114.592099,2008-03-05T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine & Beer Available']",Bullhead City,"['Monday-Friday', 'Saturday', 'Sunday']",3699 Hwy 95,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,86442-9119
44,Yuma,(928) 343-7470,United States,Yuma,375,"1450 S Yuma Palms Pkwy, Yuma, AZ 85365-1707",390,2083,2012-06-21T12:00:00,32.704743,-114.60538,2005-10-05T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",Yuma,"['Monday-Friday', 'Saturday', 'Sunday']",1450 S Yuma Palms Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,85365-1707
45,Sierra Vista,(520) 452-0035,United States,Cochise,376,"4151 E Highway 90, Sierra Vista, AZ 85635-2425",390,735,2012-06-21T12:00:00,31.555778,-110.255764,1996-03-06T12:00:00,300,AZ,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",Sierra Vista,"['Monday-Friday', 'Saturday', 'Sunday']",4151 E Highway 90,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,85635-2425
46,Saint George,(435) 627-2030,United States,Washington,373,"275 S River Rd, Saint George, UT 84790-2116",390,1357,2018-04-27T12:00:00,37.102987,-113.554468,2001-07-25T12:00:00,300,UT,"['CVS pharmacy', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",St George,"['Monday-Friday', 'Saturday', 'Sunday']",275 S River Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,84790-2116
47,Henderson,(702) 216-1900,United States,Clark,380,"350 W Lake Mead Pkwy, Henderson, NV 89015-7088",390,2404,2013-10-10T12:00:00,36.038477,-114.994098,2008-07-23T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",Henderson South,"['Monday-Friday', 'Saturday', 'Sunday']",350 W Lake Mead Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-9:00 p.m.'}]",Store,89015-7088
48,Henderson,(702) 216-7100,United States,Clark,380,"695 S Green Valley Pkwy, Henderson, NV 89052-0404",390,2568,null,36.003399,-115.085183,2009-10-07T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",Henderson SW,"['Monday-Friday', 'Saturday', 'Sunday']",695 S Green Valley Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89052-0404
49,Henderson,(702) 451-5959,United States,Clark,380,"605 N Stephanie St, Henderson, NV 89014-2612",390,680,2013-10-10T12:00:00,36.065059,-115.047712,1991-10-09T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Wine, Beer, & Spirits Available']",Henderson,"['Monday-Friday', 'Saturday', 'Sunday']",605 N Stephanie St,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89014-2612
50,Las Vegas,(702) 914-9555,United States,Clark,380,"9725 S Eastern Ave, Las Vegas, NV 89183-6841",390,1171,2013-03-21T12:00:00,36.012118,-115.121798,1999-07-21T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine, Beer, & Spirits Available']",Las Vegas Silverado Ranch,"['Monday-Friday', 'Saturday', 'Sunday']",9725 S Eastern Ave,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89183-6841
51,Las Vegas,(702) 438-8866,United States,Clark,373,"1200 S Nellis Blvd, Las Vegas, NV 89104-5752",390,264,2008-02-01T12:00:00,36.15806,-115.060962,1987-07-22T12:00:00,300,NV,"['Café', 'Drive Up', 'Wine, Beer, & Spirits Available']",Las Vegas East,"['Monday-Friday', 'Saturday', 'Sunday']",1200 S Nellis Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89104-5752
52,Las Vegas,(702) 266-8049,United States,Clark,380,"4100 Blue Diamond Rd, Las Vegas, NV 89139-7717",390,2164,2013-06-27T12:00:00,36.04072,-115.194644,2006-10-04T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine, Beer, & Spirits Available']",Las Vegas Blue Diamond,"['Monday-Friday', 'Saturday', 'Sunday']",4100 Blue Diamond Rd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,89139-7717
53,Las Vegas,(702) 732-2218,United States,Clark,380,"4001 S Maryland Pkwy, Las Vegas, NV 89119-7556",390,265,2013-06-27T12:00:00,36.116541,-115.13886,1987-07-22T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",Las Vegas Flamingo,"['Monday-Friday', 'Saturday', 'Sunday']",4001 S Maryland Pkwy,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,89119-7556
54,Las Vegas,(702) 253-5151,United States,Clark,373,"3550 S Rainbow Blvd, Las Vegas, NV 89103-1004",390,850,2008-02-01T12:00:00,36.124402,-115.241548,1993-07-21T12:00:00,300,NV,"['CVS pharmacy', 'Café', 'Drive Up', 'Wine, Beer, & Spirits Available']",West Las Vegas,"['Monday-Friday', 'Saturday', 'Sunday']",3550 S Rainbow Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89103-1004
55,North Las Vegas,(702) 216-4501,United States,Clark,373,"7090 N 5th St, North Las Vegas, NV 89084-1333",390,2497,null,36.288669,-115.133095,2009-03-04T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Starbucks', 'Wine, Beer, & Spirits Available']",N Las Vegas Deer SP,"['Monday-Friday', 'Saturday', 'Sunday']",7090 N 5th St,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89084-1333
56,Las Vegas,(702) 251-0330,United States,Clark,380,"4155 S Grand Canyon Dr, Las Vegas, NV 89147-7123",390,1524,2013-03-21T12:00:00,36.114471,-115.311127,2003-03-05T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",Las Vegas Far SW,"['Monday-Friday', 'Saturday', 'Sunday']",4155 S Grand Canyon Dr,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89147-7123
57,Las Vegas,(702) 933-2300,United States,Clark,373,"8750 W Charleston Blvd, Las Vegas, NV 89117-5452",390,1207,2017-07-06T12:00:00,36.161086,-115.287134,1999-07-21T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",Las Vegas Boca Park,"['Monday-Friday', 'Saturday', 'Sunday']",8750 W Charleston Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-12:00 a.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}]",Store,89117-5452
58,Las Vegas,(702) 645-5440,United States,Clark,373,"3210 N Tenaya Way, Las Vegas, NV 89129-6239",390,826,2013-10-10T12:00:00,36.219536,-115.24983,1992-10-07T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",Las Vegas NW,"['Monday-Friday', 'Saturday', 'Sunday']",3210 N Tenaya Way,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-11:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89129-6239
59,Las Vegas,(702) 515-8540,United States,Clark,373,"6371 N Decatur Blvd, Las Vegas, NV 89130-8001",390,2569,null,36.272988,-115.209482,2009-07-22T12:00:00,300,NV,"['CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Starbucks', 'Wine, Beer, & Spirits Available']",Las Vegas N Decatur,"['Monday-Friday', 'Saturday', 'Sunday']",6371 N Decatur Blvd,,"[{'Week Day': 'Monday-Friday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Saturday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}, {'Week Day': 'Sunday', 'Open Hours': '8:00 a.m.-10:00 p.m.'}]",Store,89130-8001
